customer_no,customer_id,Recency,Frequency,Monetary,Recency_score,Frequency_score,Monetary_score,RFM_SCORE,Segment,Is_Loyal
419,1419,248,1,18.6,3,1,1,311,about_to_sleep,Not Loyal
420,1420,263,1,16.25,3,1,1,311,about_to_sleep,Not Loyal
421,1421,330,1,171.01,2,1,5,215,hibernating,Not Loyal
422,1422,484,1,56.07,1,1,2,112,hibernating,Not Loyal
423,1423,39,1,60.03,5,1,3,513,new_customers,Not Loyal
424,1424,1394,1,48.55,1,1,2,112,hibernating,Not Loyal
425,1425,604,1,136.11,1,1,4,114,hibernating,Not Loyal
426,1426,43,1,66.53,5,1,3,513,new_customers,Not Loyal
427,1427,54,2,51.19,5,2,2,522,potential_loyalists,Loyal
428,1428,226,1,138.22,3,1,4,314,about_to_sleep,Not Loyal
429,1429,448,1,90,1,1,3,113,hibernating,Not Loyal
430,1430,128,1,16.25,4,1,1,411,promising,Not Loyal
431,1431,1666,1,23.26,1,1,1,111,hibernating,Not Loyal
432,1432,108,1,30.73,4,1,2,412,promising,Not Loyal
433,1433,0,1,84.07,5,1,3,513,new_customers,Not Loyal
434,1434,444,1,46.15,1,1,2,112,hibernating,Not Loyal
435,1435,477,3,352.34,1,3,5,135,at_Risk,Not Loyal
436,1436,89,1,76.47,5,1,3,513,new_customers,Not Loyal
437,1437,799,1,43.97,1,1,2,112,hibernating,Not Loyal
438,1438,400,1,27.01,1,1,1,111,hibernating,Not Loyal
439,1439,242,2,56.26,3,2,2,322,about_to_sleep,Not Loyal
440,1440,60,1,23.25,5,1,1,511,new_customers,Not Loyal
441,1441,166,1,56.5,4,1,2,412,promising,Not Loyal
442,1442,73,1,67.74,5,1,3,513,new_customers,Not Loyal
443,1443,35,1,8.32,5,1,1,511,new_customers,Not Loyal
444,1444,66,1,33.73,5,1,2,512,new_customers,Not Loyal
445,1445,104,1,97.09,4,1,3,413,promising,Not Loyal
446,1446,445,1,49.41,1,1,2,112,hibernating,Not Loyal
447,1447,455,1,59.7,1,1,2,112,hibernating,Not Loyal
448,1448,40,1,19.51,5,1,1,511,new_customers,Not Loyal
449,1449,8,1,73.92,5,1,3,513,new_customers,Not Loyal
450,1450,87,1,10.18,5,1,1,511,new_customers,Not Loyal
451,1451,121,1,29.8,4,1,1,411,promising,Not Loyal
452,1452,211,1,25.6,3,1,1,311,about_to_sleep,Not Loyal
453,1453,199,2,65.6,3,2,3,323,about_to_sleep,Not Loyal
454,1454,38,1,12.06,5,1,1,511,new_customers,Not Loyal
455,1455,52,1,60.64,5,1,3,513,new_customers,Not Loyal
456,1456,69,9,1793.83,5,5,5,555,champions,Loyal
457,1457,23,1,37.28,5,1,2,512,new_customers,Not Loyal
458,1458,24,3,65.22,5,3,3,533,potential_loyalists,Loyal
459,1459,1592,1,31.7,1,1,2,112,hibernating,Not Loyal
460,1460,319,1,26.99,2,1,1,211,hibernating,Not Loyal
461,1461,89,1,58.29,5,1,2,512,new_customers,Not Loyal
462,1462,114,1,65.45,4,1,3,413,promising,Not Loyal
463,1463,433,1,166.36,1,1,5,115,hibernating,Not Loyal
464,1464,189,1,61.37,3,1,3,313,about_to_sleep,Not Loyal
465,1465,209,1,44.93,3,1,2,312,about_to_sleep,Not Loyal
466,1466,73,1,51.31,5,1,2,512,new_customers,Not Loyal
467,1467,132,1,42.39,4,1,2,412,promising,Not Loyal
468,1468,229,1,22.24,3,1,1,311,about_to_sleep,Not Loyal
469,1469,1590,1,47.52,1,1,2,112,hibernating,Not Loyal
470,1470,182,1,23.26,3,1,1,311,about_to_sleep,Not Loyal
471,1471,60,1,62.9,5,1,3,513,new_customers,Not Loyal
472,1472,206,1,19.53,3,1,1,311,about_to_sleep,Not Loyal
473,1473,242,1,16.26,3,1,1,311,about_to_sleep,Not Loyal
474,1474,50,1,26.93,5,1,1,511,new_customers,Not Loyal
475,1475,293,1,23.26,2,1,1,211,hibernating,Not Loyal
476,1476,10,1,10.18,5,1,1,511,new_customers,Not Loyal
477,1477,38,1,29.06,5,1,1,511,new_customers,Not Loyal
478,1478,74,1,57.92,5,1,2,512,new_customers,Not Loyal
479,1479,24,1,99.05,5,1,3,513,new_customers,Not Loyal
480,1480,29,1,16.63,5,1,1,511,new_customers,Not Loyal
481,1481,424,1,10.17,1,1,1,111,hibernating,Not Loyal
482,1482,375,1,58.41,1,1,2,112,hibernating,Not Loyal
483,1483,28,1,32.62,5,1,2,512,new_customers,Not Loyal
484,1484,1294,1,41.22,1,1,2,112,hibernating,Not Loyal
485,1485,341,1,31.12,2,1,2,212,hibernating,Not Loyal
486,1486,478,1,38.53,1,1,2,112,hibernating,Not Loyal
487,1487,462,1,21.4,1,1,1,111,hibernating,Not Loyal
488,1488,440,1,26.95,1,1,1,111,hibernating,Not Loyal
489,1489,54,1,65.29,5,1,3,513,new_customers,Not Loyal
490,1490,75,1,53.22,5,1,2,512,new_customers,Not Loyal
491,1491,162,1,12.06,4,1,1,411,promising,Not Loyal
492,1492,0,1,8.32,5,1,1,511,new_customers,Not Loyal
493,1493,14,1,12.06,5,1,1,511,new_customers,Not Loyal
494,1494,813,1,66.86,1,1,3,113,hibernating,Not Loyal
495,1495,113,1,32.59,4,1,2,412,promising,Not Loyal
496,1496,54,1,8.31,5,1,1,511,new_customers,Not Loyal
497,1497,363,1,300.82,2,1,5,215,hibernating,Not Loyal
498,1498,1430,1,48.67,1,1,2,112,hibernating,Not Loyal
499,1499,315,1,6.44,2,1,1,211,hibernating,Not Loyal
500,1500,37,3,132.4,5,3,4,534,potential_loyalists,Loyal
501,1501,1597,1,10.22,1,1,1,111,hibernating,Not Loyal
502,1502,455,2,173.98,1,2,5,125,hibernating,Not Loyal
503,1503,1483,1,47.44,1,1,2,112,hibernating,Not Loyal
504,1504,87,1,8.32,5,1,1,511,new_customers,Not Loyal
505,1505,216,2,90.94,3,2,3,323,about_to_sleep,Not Loyal
506,1506,36,8,560.41,5,5,5,555,champions,Loyal
507,1507,91,1,62.83,4,1,3,413,promising,Not Loyal
508,1508,318,1,18.57,2,1,1,211,hibernating,Not Loyal
509,1509,293,1,23.26,2,1,1,211,hibernating,Not Loyal
510,1510,89,1,12.99,5,1,1,511,new_customers,Not Loyal
511,1511,483,1,11.21,1,1,1,111,hibernating,Not Loyal
512,1512,1736,1,48.55,1,1,2,112,hibernating,Not Loyal
513,1513,274,1,35.41,2,1,2,212,hibernating,Not Loyal
514,1514,213,1,18.6,3,1,1,311,about_to_sleep,Not Loyal
515,1515,182,2,116.01,3,2,4,324,about_to_sleep,Not Loyal
516,1516,485,1,35.47,1,1,2,112,hibernating,Not Loyal
517,1517,243,1,15.7,3,1,1,311,about_to_sleep,Not Loyal
518,1518,185,1,55.97,3,1,2,312,about_to_sleep,Not Loyal
519,1519,166,1,12.06,4,1,1,411,promising,Not Loyal
520,1520,3,1,10.19,5,1,1,511,new_customers,Not Loyal
521,1521,439,1,33.54,1,1,2,112,hibernating,Not Loyal
522,1522,1338,2,74.69,1,2,3,123,hibernating,Not Loyal
523,1523,103,1,14.86,4,1,1,411,promising,Not Loyal
524,1524,264,1,12.05,3,1,1,311,about_to_sleep,Not Loyal
525,1525,128,1,40.72,4,1,2,412,promising,Not Loyal
526,1526,123,1,9.25,4,1,1,411,promising,Not Loyal
527,1527,115,1,10.18,4,1,1,411,promising,Not Loyal
528,1528,470,1,17.52,1,1,1,111,hibernating,Not Loyal
529,1529,105,1,51.72,4,1,2,412,promising,Not Loyal
530,1530,301,2,48.46,2,2,2,222,hibernating,Not Loyal
531,1531,22,1,63.63,5,1,3,513,new_customers,Not Loyal
532,1532,336,1,26.12,2,1,1,211,hibernating,Not Loyal
533,1533,103,1,14.86,4,1,1,411,promising,Not Loyal
534,1534,356,1,12.51,2,1,1,211,hibernating,Not Loyal
535,1535,436,1,8.31,1,1,1,111,hibernating,Not Loyal
536,1536,121,2,226.95,4,2,5,425,potential_loyalists,Loyal
537,1537,55,1,59.71,5,1,2,512,new_customers,Not Loyal
538,1538,135,11,620.79,4,5,5,455,loyal_customers,Loyal
539,1539,118,1,42.94,4,1,2,412,promising,Not Loyal
540,1540,178,4,102.84,4,4,4,444,loyal_customers,Loyal
541,1541,129,1,96.21,4,1,3,413,promising,Not Loyal
542,1542,243,1,126.17,3,1,4,314,about_to_sleep,Not Loyal
543,1543,82,1,61.64,5,1,3,513,new_customers,Not Loyal
544,1544,33,1,37.85,5,1,2,512,new_customers,Not Loyal
545,1545,572,1,60.86,1,1,3,113,hibernating,Not Loyal
546,1546,350,1,31.68,2,1,2,212,hibernating,Not Loyal
547,1547,733,1,15.68,1,1,1,111,hibernating,Not Loyal
548,1548,340,1,27.01,2,1,1,211,hibernating,Not Loyal
549,1549,340,1,14.91,2,1,1,211,hibernating,Not Loyal
550,1550,22,1,11.11,5,1,1,511,new_customers,Not Loyal
551,1551,2,4,102.83,5,4,4,544,champions,Loyal
552,1552,199,2,91.93,3,2,3,323,about_to_sleep,Not Loyal
553,1553,162,1,27.01,4,1,1,411,promising,Not Loyal
554,1554,427,1,34.47,1,1,2,112,hibernating,Not Loyal
555,1555,195,1,26.15,3,1,1,311,about_to_sleep,Not Loyal
556,1556,53,1,24.2,5,1,1,511,new_customers,Not Loyal
557,1557,20,1,24.9,5,1,1,511,new_customers,Not Loyal
558,1558,153,1,27.01,4,1,1,411,promising,Not Loyal
559,1559,266,1,13.93,3,1,1,311,about_to_sleep,Not Loyal
560,1560,1,1,25.6,5,1,1,511,new_customers,Not Loyal
561,1561,18,1,12.06,5,1,1,511,new_customers,Not Loyal
562,1562,414,1,28.5,1,1,1,111,hibernating,Not Loyal
563,1563,98,7,372.07,4,5,5,455,loyal_customers,Loyal
564,1564,649,1,63.79,1,1,3,113,hibernating,Not Loyal
565,1565,118,1,62.62,4,1,3,413,promising,Not Loyal
566,1566,24,3,190.15,5,3,5,535,potential_loyalists,Loyal
567,1567,585,1,15.4,1,1,1,111,hibernating,Not Loyal
568,1568,198,1,12.06,3,1,1,311,about_to_sleep,Not Loyal
569,1569,1038,1,32.15,1,1,2,112,hibernating,Not Loyal
570,1570,321,1,19.53,2,1,1,211,hibernating,Not Loyal
571,1571,220,1,19.53,3,1,1,311,about_to_sleep,Not Loyal
572,1572,18,1,31.67,5,1,2,512,new_customers,Not Loyal
573,1573,69,2,117.13,5,2,4,524,potential_loyalists,Loyal
574,1574,299,1,35.05,2,1,2,212,hibernating,Not Loyal
575,1575,22,17,2639,5,5,5,555,champions,Loyal
576,1576,1358,1,15.61,1,1,1,111,hibernating,Not Loyal
577,1577,322,1,21.4,2,1,1,211,hibernating,Not Loyal
578,1578,24,1,74.19,5,1,3,513,new_customers,Not Loyal
579,1579,34,5,227.63,5,5,5,555,champions,Loyal
580,1580,128,1,12.06,4,1,1,411,promising,Not Loyal
581,1581,110,2,119.23,4,2,4,424,potential_loyalists,Loyal
582,1582,984,1,7.37,1,1,1,111,hibernating,Not Loyal
583,1583,287,1,94.47,2,1,3,213,hibernating,Not Loyal
584,1584,1385,2,125.5,1,2,4,124,hibernating,Not Loyal
585,1585,245,1,23.74,3,1,1,311,about_to_sleep,Not Loyal
586,1586,475,1,9.8,1,1,1,111,hibernating,Not Loyal
587,1587,107,1,57.56,4,1,2,412,promising,Not Loyal
588,1588,30,1,35.86,5,1,2,512,new_customers,Not Loyal
589,1589,514,1,26.61,1,1,1,111,hibernating,Not Loyal
590,1590,114,8,352.3,4,5,5,455,loyal_customers,Loyal
591,1591,14,4,139.34,5,4,4,544,champions,Loyal
592,1592,239,3,69.8,3,3,3,333,need_attention,Not Loyal
593,1593,60,5,163.36,5,5,5,555,champions,Loyal
594,1594,160,2,89.14,4,2,3,423,potential_loyalists,Loyal
595,1595,554,1,64.16,1,1,3,113,hibernating,Not Loyal
596,1596,161,1,19.25,4,1,1,411,promising,Not Loyal
597,1597,1111,1,10.65,1,1,1,111,hibernating,Not Loyal
598,1598,168,1,15.32,4,1,1,411,promising,Not Loyal
599,1599,46,2,116.55,5,2,4,524,potential_loyalists,Loyal
600,1600,350,1,44.61,2,1,2,212,hibernating,Not Loyal
601,1601,274,1,23.72,2,1,1,211,hibernating,Not Loyal
602,1602,550,1,61.9,1,1,3,113,hibernating,Not Loyal
603,1603,331,1,36.34,2,1,2,212,hibernating,Not Loyal
604,1604,80,1,66.29,5,1,3,513,new_customers,Not Loyal
605,1605,171,2,134.56,4,2,4,424,potential_loyalists,Loyal
606,1606,554,1,19.73,1,1,1,111,hibernating,Not Loyal
607,1607,85,2,147.04,5,2,4,524,potential_loyalists,Loyal
608,1608,465,3,135.39,1,3,4,134,at_Risk,Not Loyal
609,1609,536,1,49.83,1,1,2,112,hibernating,Not Loyal
610,1610,470,1,58.86,1,1,2,112,hibernating,Not Loyal
611,1611,406,1,73.6,1,1,3,113,hibernating,Not Loyal
612,1612,424,1,56.9,1,1,2,112,hibernating,Not Loyal
613,1613,561,1,42.49,1,1,2,112,hibernating,Not Loyal
614,1614,698,2,56.67,1,2,2,122,hibernating,Not Loyal
615,1615,221,3,91.06,3,3,3,333,need_attention,Not Loyal
616,1616,121,1,47.55,4,1,2,412,promising,Not Loyal
617,1617,69,2,51.19,5,2,2,522,potential_loyalists,Loyal
618,1618,296,1,8.32,2,1,1,211,hibernating,Not Loyal
619,1619,333,1,18.59,2,1,1,211,hibernating,Not Loyal
620,1620,357,1,34.36,2,1,2,212,hibernating,Not Loyal
621,1621,296,1,12.06,2,1,1,211,hibernating,Not Loyal
622,1622,185,1,58.4,3,1,2,312,about_to_sleep,Not Loyal
623,1623,1306,1,65.84,1,1,3,113,hibernating,Not Loyal
624,1624,164,1,56.88,4,1,2,412,promising,Not Loyal
625,1625,274,1,56.3,2,1,2,212,hibernating,Not Loyal
626,1626,412,1,61.68,1,1,3,113,hibernating,Not Loyal
627,1627,23,1,13.92,5,1,1,511,new_customers,Not Loyal
628,1628,41,1,85.96,5,1,3,513,new_customers,Not Loyal
629,1629,47,4,245.63,5,4,5,545,champions,Loyal
630,1630,85,4,242.92,5,4,5,545,champions,Loyal
631,1631,117,1,35.42,4,1,2,412,promising,Not Loyal
632,1632,34,4,81.8,5,4,3,543,champions,Loyal
633,1633,34,1,65.37,5,1,3,513,new_customers,Not Loyal
634,1634,67,2,74.29,5,2,3,523,potential_loyalists,Loyal
635,1635,106,1,25.12,4,1,1,411,promising,Not Loyal
636,1636,282,1,43.83,2,1,2,212,hibernating,Not Loyal
637,1637,308,1,59.72,2,1,2,212,hibernating,Not Loyal
638,1638,449,2,219.63,1,2,5,125,hibernating,Not Loyal
639,1639,483,1,14.48,1,1,1,111,hibernating,Not Loyal
640,1640,488,1,56.07,1,1,2,112,hibernating,Not Loyal
641,1641,300,1,70.95,2,1,3,213,hibernating,Not Loyal
642,1642,494,1,29.85,1,1,1,111,hibernating,Not Loyal
643,1643,274,1,42.43,2,1,2,212,hibernating,Not Loyal
644,1644,346,1,11.1,2,1,1,211,hibernating,Not Loyal
645,1645,562,1,42.49,1,1,2,112,hibernating,Not Loyal
646,1646,443,1,32.14,1,1,2,112,hibernating,Not Loyal
647,1647,146,1,19.53,4,1,1,411,promising,Not Loyal
648,1648,10,1,51.02,5,1,2,512,new_customers,Not Loyal
649,1649,178,4,302.3,4,4,5,445,loyal_customers,Loyal
650,1650,340,1,34.75,2,1,2,212,hibernating,Not Loyal
651,1651,522,1,46.68,1,1,2,112,hibernating,Not Loyal
652,1652,526,1,45.68,1,1,2,112,hibernating,Not Loyal
653,1653,152,1,19.51,4,1,1,411,promising,Not Loyal
654,1654,243,1,18.6,3,1,1,311,about_to_sleep,Not Loyal
655,1655,149,1,59.78,4,1,2,412,promising,Not Loyal
656,1656,196,1,32.61,3,1,2,312,about_to_sleep,Not Loyal
657,1657,47,1,24.11,5,1,1,511,new_customers,Not Loyal
658,1658,129,1,9.71,4,1,1,411,promising,Not Loyal
659,1659,227,1,78.94,3,1,3,313,about_to_sleep,Not Loyal
660,1660,283,1,92.52,2,1,3,213,hibernating,Not Loyal
661,1661,48,1,32.14,5,1,2,512,new_customers,Not Loyal
662,1662,93,1,57.94,4,1,2,412,promising,Not Loyal
663,1663,781,1,13.88,1,1,1,111,hibernating,Not Loyal
664,1664,325,1,32.14,2,1,2,212,hibernating,Not Loyal
665,1665,436,1,35.42,1,1,2,112,hibernating,Not Loyal
666,1666,1646,1,30.73,1,1,2,112,hibernating,Not Loyal
667,1667,100,5,319.52,4,5,5,455,loyal_customers,Loyal
668,1668,4,1,32.23,5,1,2,512,new_customers,Not Loyal
669,1669,102,1,81.89,4,1,3,413,promising,Not Loyal
670,1670,389,1,139.89,1,1,4,114,hibernating,Not Loyal
671,1671,449,2,148.3,1,2,4,124,hibernating,Not Loyal
672,1672,38,2,74.66,5,2,3,523,potential_loyalists,Loyal
673,1673,401,1,21.4,1,1,1,111,hibernating,Not Loyal
674,1674,39,1,10.17,5,1,1,511,new_customers,Not Loyal
675,1675,210,2,128.89,3,2,4,324,about_to_sleep,Not Loyal
676,1676,782,1,44.35,1,1,2,112,hibernating,Not Loyal
677,1677,356,1,21.4,2,1,1,211,hibernating,Not Loyal
678,1678,274,4,148.21,2,4,4,244,at_Risk,Not Loyal
679,1679,654,1,24.94,1,1,1,111,hibernating,Not Loyal
680,1680,148,2,35.36,4,2,2,422,potential_loyalists,Loyal
681,1681,415,1,18.6,1,1,1,111,hibernating,Not Loyal
682,1682,270,1,18.6,3,1,1,311,about_to_sleep,Not Loyal
683,1683,234,3,78.1,3,3,3,333,need_attention,Not Loyal
684,1684,54,1,56.17,5,1,2,512,new_customers,Not Loyal
685,1685,72,2,50.9,5,2,2,522,potential_loyalists,Loyal
686,1686,48,1,65.41,5,1,3,513,new_customers,Not Loyal
687,1687,151,1,57.89,4,1,2,412,promising,Not Loyal
688,1688,249,1,60.51,3,1,3,313,about_to_sleep,Not Loyal
689,1689,65,1,32.51,5,1,2,512,new_customers,Not Loyal
690,1690,99,1,24.2,4,1,1,411,promising,Not Loyal
691,1691,351,1,25.13,2,1,1,211,hibernating,Not Loyal
692,1692,471,1,36.81,1,1,2,112,hibernating,Not Loyal
693,1693,85,1,80,5,1,3,513,new_customers,Not Loyal
694,1694,256,2,38.08,3,2,2,322,about_to_sleep,Not Loyal
695,1695,229,2,132.71,3,2,4,324,about_to_sleep,Not Loyal
696,1696,326,1,13.46,2,1,1,211,hibernating,Not Loyal
697,1697,1025,1,17.65,1,1,1,111,hibernating,Not Loyal
698,1698,77,1,45.22,5,1,2,512,new_customers,Not Loyal
699,1699,236,1,28.87,3,1,1,311,about_to_sleep,Not Loyal
700,1700,240,1,57.94,3,1,2,312,about_to_sleep,Not Loyal
701,1701,38,1,37.72,5,1,2,512,new_customers,Not Loyal
702,1702,120,1,14,4,1,1,411,promising,Not Loyal
703,1703,360,1,37.66,2,1,2,212,hibernating,Not Loyal
704,1704,432,2,195.19,1,2,5,125,hibernating,Not Loyal
705,1705,28,1,61.09,5,1,3,513,new_customers,Not Loyal
706,1706,159,1,12.06,4,1,1,411,promising,Not Loyal
707,1707,560,1,43.42,1,1,2,112,hibernating,Not Loyal
708,1708,296,1,24.1,2,1,1,211,hibernating,Not Loyal
709,1709,1370,1,24.85,1,1,1,111,hibernating,Not Loyal
710,1710,44,1,21.39,5,1,1,511,new_customers,Not Loyal
711,1711,716,1,74.45,1,1,3,113,hibernating,Not Loyal
712,1712,67,1,56.53,5,1,2,512,new_customers,Not Loyal
713,1713,87,1,63.85,5,1,3,513,new_customers,Not Loyal
714,1714,30,2,126.28,5,2,4,524,potential_loyalists,Loyal
715,1715,143,1,59.84,4,1,2,412,promising,Not Loyal
716,1716,123,1,8.32,4,1,1,411,promising,Not Loyal
717,1717,81,1,22.33,5,1,1,511,new_customers,Not Loyal
718,1718,440,1,79.35,1,1,3,113,hibernating,Not Loyal
719,1719,244,1,22.23,3,1,1,311,about_to_sleep,Not Loyal
720,1720,124,2,119.94,4,2,4,424,potential_loyalists,Loyal
721,1721,443,1,13.93,1,1,1,111,hibernating,Not Loyal
722,1722,28,2,98.47,5,2,3,523,potential_loyalists,Loyal
723,1723,355,1,17.29,2,1,1,211,hibernating,Not Loyal
724,1724,1126,1,73.78,1,1,3,113,hibernating,Not Loyal
725,1725,277,1,38.21,2,1,2,212,hibernating,Not Loyal
726,1726,1559,1,32.72,1,1,2,112,hibernating,Not Loyal
727,1727,85,1,65.39,5,1,3,513,new_customers,Not Loyal
728,1728,413,1,94.2,1,1,3,113,hibernating,Not Loyal
729,1729,162,4,181.4,4,4,5,445,loyal_customers,Loyal
730,1730,151,1,32.52,4,1,2,412,promising,Not Loyal
731,1731,1388,1,29.79,1,1,1,111,hibernating,Not Loyal
732,1732,81,1,74.75,5,1,3,513,new_customers,Not Loyal
733,1733,162,1,92.96,4,1,3,413,promising,Not Loyal
734,1734,1130,1,55.05,1,1,2,112,hibernating,Not Loyal
735,1735,96,2,104.65,4,2,4,424,potential_loyalists,Loyal
736,1736,208,1,19.72,3,1,1,311,about_to_sleep,Not Loyal
737,1737,187,1,114.7,3,1,4,314,about_to_sleep,Not Loyal
738,1738,55,2,154.11,5,2,5,525,potential_loyalists,Loyal
739,1739,559,1,19.23,1,1,1,111,hibernating,Not Loyal
740,1740,85,1,59.29,5,1,2,512,new_customers,Not Loyal
741,1741,153,1,58.86,4,1,2,412,promising,Not Loyal
742,1742,554,1,19.23,1,1,1,111,hibernating,Not Loyal
743,1743,223,1,67.26,3,1,3,313,about_to_sleep,Not Loyal
744,1744,241,1,36.07,3,1,2,312,about_to_sleep,Not Loyal
745,1745,128,1,19.53,4,1,1,411,promising,Not Loyal
746,1746,572,1,62.7,1,1,3,113,hibernating,Not Loyal
747,1747,124,1,93.41,4,1,3,413,promising,Not Loyal
748,1748,498,1,27.03,1,1,1,111,hibernating,Not Loyal
749,1749,418,1,31.68,1,1,2,112,hibernating,Not Loyal
750,1750,52,1,33.73,5,1,2,512,new_customers,Not Loyal
751,1751,410,1,12.99,1,1,1,111,hibernating,Not Loyal
752,1752,62,1,27.93,5,1,1,511,new_customers,Not Loyal
753,1753,321,1,56.07,2,1,2,212,hibernating,Not Loyal
754,1754,215,1,12.97,3,1,1,311,about_to_sleep,Not Loyal
755,1755,86,1,23.26,5,1,1,511,new_customers,Not Loyal
756,1756,287,1,61.67,2,1,3,213,hibernating,Not Loyal
757,1757,36,1,11.12,5,1,1,511,new_customers,Not Loyal
758,1758,511,1,24.75,1,1,1,111,hibernating,Not Loyal
759,1759,129,3,111.76,4,3,4,434,potential_loyalists,Loyal
760,1760,799,3,176.4,1,3,5,135,at_Risk,Not Loyal
761,1761,104,1,23.26,4,1,1,411,promising,Not Loyal
762,1762,156,1,27.93,4,1,1,411,promising,Not Loyal
763,1763,56,1,27,5,1,1,511,new_customers,Not Loyal
764,1764,145,11,104.34,4,5,4,454,loyal_customers,Loyal
765,1765,898,1,26.99,1,1,1,111,hibernating,Not Loyal
766,1766,305,1,15.32,2,1,1,211,hibernating,Not Loyal
767,1767,300,1,18.6,2,1,1,211,hibernating,Not Loyal
768,1768,58,1,23.26,5,1,1,511,new_customers,Not Loyal
769,1769,142,2,117.01,4,2,4,424,potential_loyalists,Loyal
770,1770,123,1,12.06,4,1,1,411,promising,Not Loyal
771,1771,197,1,30.99,3,1,2,312,about_to_sleep,Not Loyal
772,1772,36,1,65.28,5,1,3,513,new_customers,Not Loyal
773,1773,18,1,19.51,5,1,1,511,new_customers,Not Loyal
774,1775,331,1,11.76,2,1,1,211,hibernating,Not Loyal
775,1776,60,1,24.11,5,1,1,511,new_customers,Not Loyal
776,1778,421,1,40.93,1,1,2,112,hibernating,Not Loyal
777,1779,289,1,9.75,2,1,1,211,hibernating,Not Loyal
778,1780,174,1,28.87,4,1,1,411,promising,Not Loyal
779,1781,367,1,21.59,1,1,1,111,hibernating,Not Loyal
780,1782,517,1,63.27,1,1,3,113,hibernating,Not Loyal
781,1783,374,1,51.55,1,1,2,112,hibernating,Not Loyal
782,1784,24,1,55.93,5,1,2,512,new_customers,Not Loyal
783,1785,234,2,91.38,3,2,3,323,about_to_sleep,Not Loyal
784,1786,29,1,6.91,5,1,1,511,new_customers,Not Loyal
785,1787,54,1,23.26,5,1,1,511,new_customers,Not Loyal
786,1788,107,1,76.36,4,1,3,413,promising,Not Loyal
787,1789,107,1,59.79,4,1,2,412,promising,Not Loyal
788,1790,84,1,20.56,5,1,1,511,new_customers,Not Loyal
789,1791,683,1,27.77,1,1,1,111,hibernating,Not Loyal
790,1792,542,1,66.62,1,1,3,113,hibernating,Not Loyal
791,1793,99,1,93.43,4,1,3,413,promising,Not Loyal
792,1794,151,1,58.79,4,1,2,412,promising,Not Loyal
793,1795,109,1,27.93,4,1,1,411,promising,Not Loyal
794,1796,28,1,12.05,5,1,1,511,new_customers,Not Loyal
795,1797,23,2,186.89,5,2,5,525,potential_loyalists,Loyal
796,1798,370,1,27.9,1,1,1,111,hibernating,Not Loyal
797,1799,258,1,33.54,3,1,2,312,about_to_sleep,Not Loyal
798,1800,24,1,10.64,5,1,1,511,new_customers,Not Loyal
799,1801,41,1,15.7,5,1,1,511,new_customers,Not Loyal
800,1802,166,1,11.11,4,1,1,411,promising,Not Loyal
801,1803,755,2,77.95,1,2,3,123,hibernating,Not Loyal
802,1804,373,1,41.96,1,1,2,112,hibernating,Not Loyal
803,1805,1632,2,19.58,1,2,1,121,hibernating,Not Loyal
804,1806,104,1,26.99,4,1,1,411,promising,Not Loyal
805,1807,84,1,12.06,5,1,1,511,new_customers,Not Loyal
806,1808,178,1,46.06,4,1,2,412,promising,Not Loyal
807,1809,176,5,94.22,4,5,3,453,loyal_customers,Loyal
808,1810,386,1,21.4,1,1,1,111,hibernating,Not Loyal
809,1811,54,1,15.32,5,1,1,511,new_customers,Not Loyal
810,1812,66,1,15.4,5,1,1,511,new_customers,Not Loyal
811,1813,115,1,12.06,4,1,1,411,promising,Not Loyal
812,1814,39,3,249.31,5,3,5,535,potential_loyalists,Loyal
813,1815,18,5,335.55,5,5,5,555,champions,Loyal
814,1816,70,1,43.36,5,1,2,512,new_customers,Not Loyal
815,1817,150,1,15.7,4,1,1,411,promising,Not Loyal
816,1818,354,1,15.79,2,1,1,211,hibernating,Not Loyal
817,1819,971,1,17.65,1,1,1,111,hibernating,Not Loyal
818,1820,184,1,27.48,3,1,1,311,about_to_sleep,Not Loyal
819,1821,481,1,49.44,1,1,2,112,hibernating,Not Loyal
820,1822,90,1,59.78,5,1,2,512,new_customers,Not Loyal
821,1823,70,1,52.66,5,1,2,512,new_customers,Not Loyal
822,1824,460,1,70.56,1,1,3,113,hibernating,Not Loyal
823,1825,444,1,68.22,1,1,3,113,hibernating,Not Loyal
824,1826,298,1,65.41,2,1,3,213,hibernating,Not Loyal
825,1827,9,2,69.88,5,2,3,523,potential_loyalists,Loyal
826,1828,347,1,16.5,2,1,1,211,hibernating,Not Loyal
827,1829,103,1,72.85,4,1,3,413,promising,Not Loyal
828,1830,41,4,97.81,5,4,3,543,champions,Loyal
829,1831,990,1,51.26,1,1,2,112,hibernating,Not Loyal
830,1832,245,1,12.99,3,1,1,311,about_to_sleep,Not Loyal
831,1833,25,1,57.59,5,1,2,512,new_customers,Not Loyal
832,1834,317,1,38.74,2,1,2,212,hibernating,Not Loyal
833,1835,97,1,26.99,4,1,1,411,promising,Not Loyal
834,1836,289,2,30.82,2,2,2,222,hibernating,Not Loyal
835,1837,204,1,56.99,3,1,2,312,about_to_sleep,Not Loyal
836,1838,173,1,110.25,4,1,4,414,promising,Not Loyal
837,1839,1562,1,52.22,1,1,2,112,hibernating,Not Loyal
838,1840,185,1,63.18,3,1,3,313,about_to_sleep,Not Loyal
839,1841,26,2,248.96,5,2,5,525,potential_loyalists,Loyal
